Sample,Substrate,Worms,Soil_initial_mass,Soil_dry_mass,Tube,Soil_final_dry,Small_loaf_tin,Small_loaf2_tin,Large_loaf_tin,Small_after,Small_after_2,Large_after,LF,Sand,Clay,total_mass,LF_percent,Sand_percent,Clay_percent,Avg_mgC
O1,O,T,9.35,22.38,13.33,0.3,7.5162,7.6003,7.51,8.74,13.22,9.95,1.2238,5.6197,2.44,9.2835,13.18252814,60.53428125,26.28319061,27.80509597
O2,O,T,9.22,22.04,13.33,0.51,7.422,7.4243,7.3,9.44,12.23,9.54,2.018,4.8057,2.24,9.0637,22.26463806,53.02139303,24.71396891,30.81972072
O3,O,F,9.36,22.51,13.33,0.18,7.474,7.4539,7.34,9.42,11.35,10.89,1.946,3.8961,3.55,9.3921,20.71954089,41.48273549,37.79772362,101.4580141
O4,O,F,9.13,22.31,13.33,0.15,7.3462,7.3935,7.42,8.01,12.17,11.44,0.6638,4.7765,4.02,9.4603,7.016690803,50.48994218,42.49336702,169.0807338
O5,O,F,8.91,22.09,13.33,0.15,7.2005,7.3382,7.38,8.68,11.4,10.85,1.4795,4.0618,3.47,9.0113,16.41827483,45.07451755,38.50720762,39.24948141
O6,O,T,8.99,22.13,13.33,0.19,7.4755,7.4755,7.39,9.21,10.82,11.25,1.7345,3.3445,3.86,8.939,19.40373644,37.41469963,43.18156393,139.0232813
N1,N,F,9.26,22.36,13.33,0.23,7.3382,7.2005,7.48,8.29,11.02,12.46,0.9518,3.8195,4.98,9.7513,9.760749849,39.16913642,51.07011373,125.4528117
N2,N,F,8.99,22.11,13.33,0.21,7.533,7.533,7.36,9.21,9.69,12.79,1.677,2.157,5.43,9.264,18.10233161,23.28367876,58.61398964,170.7771408
N3,N,T,8.87,22.02,13.33,0.18,7.5342,7.5342,7.44,8.09,11.74,11.41,0.5558,4.2058,3.97,8.7316,6.365385496,48.16757524,45.46703926,65.04237236
N4,N,T,9.01,22.05,13.33,0.29,7.4763,7.4763,7.42,8.34,11.92,10.68,0.8637,4.4437,3.26,8.5674,10.08123818,51.86754441,38.05121741,53.02116079
N5,N,F,8.91,22.09,13.33,0.15,7.4259,7.4259,7.49,8.48,11.83,11.55,1.0541,4.4041,4.06,9.5182,11.07457292,46.27030321,42.65512387,142.3852462
N6,N,T,9.05,22.24,13.33,0.14,7.5505,7.5505,7.46,8.81,10.82,12.21,1.2595,3.2695,4.75,9.279,13.57366095,35.23547796,51.19086108,229.8560992
